author,published,title,text,language,site_url,main_img_url,type,hasImage,title_without_stopwords,text_without_stopwords
Barracuda Brigade,2016-10-26T21:41:00.000+03:00,muslims busted they stole millions in govt benefits,"print they should pay all the back all the money plus interest the entire family and everyone who came in with them need to be deported asap why did it take two years to bust them 
here we go again another group stealing from the government and taxpayers a group of somalis stole over four million in government benefits over just  months 
weve reported on numerous cases like this one where the muslim refugeesimmigrants commit fraud by scamming our systemits way out of control more related",english,100percentfedup.com,http://bb4sp.com/wp-content/uploads/2016/10/Fullscreen-capture-10262016-83501-AM.bmp.jpg,bias,1.0,muslims busted stole millions govt benefits,print pay back money plus interest entire family everyone came need deported asap take two years bust go another group stealing government taxpayers group somalis stole four million government benefits months weve reported numerous cases like one muslim refugeesimmigrants commit fraud scamming systemits way control related
reasoning with facts,2016-10-29T08:47:11.259+03:00,re why did attorney general loretta lynch plead the fifth,"why did attorney general loretta lynch plead the fifth barracuda brigade  print the administration is blocking congressional probe into cash payments to iran of course she needs to plead the th she either cant recall refuses to answer or just plain deflects the question straight up corruption at its finest 
percentfedupcom  talk about covering your ass loretta lynch did just that when she plead the fifth to avoid incriminating herself over payments to irancorrupt to the core attorney general loretta lynch is declining to comply with an investigation by leading members of congress about the obama administrations secret efforts to send iran  billion in cash earlier this year prompting accusations that lynch has pleaded the fifth amendment to avoid incriminating herself over these payments according to lawmakers and communications exclusively obtained by the washington free beacon 
sen marco rubio r fla and rep mike pompeo r kan initially presented lynch in october with a series of questions about how the cash payment to iran was approved and delivered 
in an oct  response assistant attorney general peter kadzik responded on lynchs behalf refusing to answer the questions and informing the lawmakers that they are barred from publicly disclosing any details about the cash payment which was bound up in a ransom deal aimed at freeing several american hostages from iran 
the response from the attorney generals office is unacceptable and provides evidence that lynch has chosen to essentially plead the fifth and refuse to respond to inquiries regarding herrole in providing cash to the worlds foremost state sponsor of terrorism rubio and pompeo wrote on friday in a followup letter to lynch more related",english,100percentfedup.com,http://bb4sp.com/wp-content/uploads/2016/10/Fullscreen-capture-10282016-102616-PM.bmp.jpg,bias,1.0,attorney general loretta lynch plead fifth,attorney general loretta lynch plead fifth barracuda brigade print administration blocking congressional probe cash payments iran course needs plead th either cant recall refuses answer plain deflects question straight corruption finest percentfedupcom talk covering ass loretta lynch plead fifth avoid incriminating payments irancorrupt core attorney general loretta lynch declining comply investigation leading members congress obama administrations secret efforts send iran billion cash earlier year prompting accusations lynch pleaded fifth amendment avoid incriminating payments according lawmakers communications exclusively obtained washington free beacon sen marco rubio r fla rep mike pompeo r kan initially presented lynch october series questions cash payment iran approved delivered oct response assistant attorney general peter kadzik responded lynchs behalf refusing answer questions informing lawmakers barred publicly disclosing details cash payment bound ransom deal aimed freeing several american hostages iran response attorney generals office unacceptable provides evidence lynch chosen essentially plead fifth refuse respond inquiries regarding herrole providing cash worlds foremost state sponsor terrorism rubio pompeo wrote friday followup letter lynch related
Barracuda Brigade,2016-10-31T01:41:49.479+02:00,breaking weiner cooperating with fbi on hillary email investigation,"red state  
fox news sunday reported this morning that anthony weiner is cooperating with the fbi which has reopened yes lefties reopened the investigation into hillary clintons classified emails watch as chris wallace reports the breaking news during the panel segment near the end of the show 
and the news is breaking while were on the air our colleague bret baier has just sent us an email saying he has two sources who say that anthony weiner who also had coownership of that laptop with his estranged wife huma abedin is cooperating with the fbi investigation had given them the laptop so therefore they didnt need a warrant to get in to see the contents of said laptop pretty interesting development 
targets of federal investigations will often cooperate hoping that they will get consideration from a judge at sentencing given weiners wellknown penchant for lying its hard to believe that a prosecutor would give weiner a deal based on an agreement to testify unless his testimony were very strongly corroborated by hard evidence but cooperation can take many forms  and as wallace indicated on this mornings show one of those forms could be signing a consent form to allow   the contents of devices that they could probably get a warrant for anyway well see if weiners cooperation extends beyond that more related",english,100percentfedup.com,http://bb4sp.com/wp-content/uploads/2016/10/Fullscreen-capture-10302016-60437-PM.bmp.jpg,bias,1.0,breaking weiner cooperating fbi hillary email investigation,red state fox news sunday reported morning anthony weiner cooperating fbi reopened yes lefties reopened investigation hillary clintons classified emails watch chris wallace reports breaking news panel segment near end show news breaking air colleague bret baier sent us email saying two sources say anthony weiner also coownership laptop estranged wife huma abedin cooperating fbi investigation given laptop therefore didnt need warrant get see contents said laptop pretty interesting development targets federal investigations often cooperate hoping get consideration judge sentencing given weiners wellknown penchant lying hard believe prosecutor would give weiner deal based agreement testify unless testimony strongly corroborated hard evidence cooperation take many forms wallace indicated mornings show one forms could signing consent form allow contents devices could probably get warrant anyway well see weiners cooperation extends beyond related
Fed Up,2016-11-01T05:22:00.000+02:00,pin drop speech by father of daughter kidnapped and killed by isis i have voted for donald j trump  percentfedupcom,email kayla mueller was a prisoner and tortured by isis while no chance of releasea horrific story her father gave a pin drop speech that was so heartfelt you want to give him a hug carl mueller believes donald trump will be a great presidentepic speech k shares,english,100percentfedup.com,http://100percentfedup.com/wp-content/uploads/2016/10/kayla.jpg,bias,1.0,pin drop speech father daughter kidnapped killed isis voted donald j trump percentfedupcom,email kayla mueller prisoner tortured isis chance releasea horrific story father gave pin drop speech heartfelt want give hug carl mueller believes donald trump great presidentepic speech k shares
Fed Up,2016-11-01T21:56:00.000+02:00,fantastic trumps  point plan to reform healthcare begins with a bombshell  percentfedupcom,"email healthcare reform to make america great again 
since march of  the american people have had to suffer under the incredible economic burden of the affordable care actobamacare this legislation passed by totally partisan votes in the house and senate and signed into law by the most divisive and partisan president in american history has tragically but predictably resulted in runaway costs websites that dont work greater rationing of care higher premiums less competition and fewer choices obamacare has raised the economic uncertainty of every single person residing in this country as it appears obamacare is certain to collapse of its own weight the damage done by the democrats and president obama and abetted by the supreme court will be difficult to repair unless the next president and a republican congress lead the effort to bring muchneeded free market reforms to the healthcare industry 
congress must act our elected representatives in the house and senate must 
 completely repeal obamacare our elected representatives must eliminate the individual mandate no person should be required to buy insurance unless he or she wants to 
 modify existing law that inhibits the sale of health insurance across state lines as long as the plan purchased complies with state requirements any vendor ought to be able to offer insurance in any state by allowing full competition in this market insurance costs will go down and consumer satisfaction will go up 
 allow individuals to fully deduct health insurance premium payments from their tax returns under the current tax system businesses are allowed to take these deductions so why wouldnt congress allow individuals the same exemptions as we allow the free market to provide insurance coverage opportunities to companies and individuals we must also make sure that no one slips through the cracks simply because they cannot afford insurance we must review basic options for medicaid and work with states to ensure that those who want healthcare coverage can have it trending on  fed up",english,100percentfedup.com,http://100percentfedup.com/wp-content/uploads/2016/11/obamacare-sites-404-970x0.jpg,bias,1.0,fantastic trumps point plan reform healthcare begins bombshell percentfedupcom,email healthcare reform make america great since march american people suffer incredible economic burden affordable care actobamacare legislation passed totally partisan votes house senate signed law divisive partisan president american history tragically predictably resulted runaway costs websites dont work greater rationing care higher premiums less competition fewer choices obamacare raised economic uncertainty every single person residing country appears obamacare certain collapse weight damage done democrats president obama abetted supreme court difficult repair unless next president republican congress lead effort bring muchneeded free market reforms healthcare industry congress must act elected representatives house senate must completely repeal obamacare elected representatives must eliminate individual mandate person required buy insurance unless wants modify existing law inhibits sale health insurance across state lines long plan purchased complies state requirements vendor ought able offer insurance state allowing full competition market insurance costs go consumer satisfaction go allow individuals fully deduct health insurance premium payments tax returns current tax system businesses allowed take deductions wouldnt congress allow individuals exemptions allow free market provide insurance coverage opportunities companies individuals must also make sure one slips cracks simply cannot afford insurance must review basic options medicaid work states ensure want healthcare coverage trending fed
Barracuda Brigade,2016-11-02T16:31:28.550+02:00,hillary goes absolutely berserk on protester at rally video,"print hillary goes absolutely berserk she explodes on bill rapist protester at rally oh the irony she is an enabler to bills escapades shes is just projecting again she is so pathetic dragging integrity challenged alicia machado on stage with her yesterday at her sad little rally in florida 
tgp  democratic party presidential nominee hillary clinton angrily reacted to a protester shouting bill clinton is a rapist at a campaign rally in fort lauderdale florida tuesday night saying i am sick and tired of the negative dark divisive dangerous vision and behavior of people who support donald trump according to reports 
protester interrupts hillary clinton shouting bill clinton is a rapist clinton fires right back i am sick and tired of the negative pictwittercomyncdksbg 
 josh haskell joshbhaskell november   man interrupts hillaryclinton yelling bill clinton is a rapist she responds shes tired of divisive distractions nbc pictwittercomgpjpseqb 
 jamie guirola jamienbc november   heres hillary absolutely going bezerk on a protester starts screaming shouting yelling full off the rails pictwittercomjqijjto 
 john binder  jxhnbinder november   related",english,100percentfedup.com,http://bb4sp.com/wp-content/uploads/2016/11/Fullscreen-capture-1122016-74311-AM.bmp.jpg,bias,1.0,hillary goes absolutely berserk protester rally video,print hillary goes absolutely berserk explodes bill rapist protester rally oh irony enabler bills escapades shes projecting pathetic dragging integrity challenged alicia machado stage yesterday sad little rally florida tgp democratic party presidential nominee hillary clinton angrily reacted protester shouting bill clinton rapist campaign rally fort lauderdale florida tuesday night saying sick tired negative dark divisive dangerous vision behavior people support donald trump according reports protester interrupts hillary clinton shouting bill clinton rapist clinton fires right back sick tired negative pictwittercomyncdksbg josh haskell joshbhaskell november man interrupts hillaryclinton yelling bill clinton rapist responds shes tired divisive distractions nbc pictwittercomgpjpseqb jamie guirola jamienbc november heres hillary absolutely going bezerk protester starts screaming shouting yelling full rails pictwittercomjqijjto john binder jxhnbinder november related
Fed Up,2016-11-04T19:40:00.000+02:00,breaking nypd ready to make arrests in weiner casehillary visited pedophile island at least  timesmoney laundering underage sex payforplayproof of inappropriate handling classified information  percentfedupcom,"breaking nypd ready to make arrests in weiner casehillary visited pedophile island at least  timesmoney laundering underage sex payforplayproof of inappropriate handling classified information blackwater usa founder retired navy seal erik prince 
prince claimed he had insider knowledge of the investigation that could help explain why fbi director james comey had to announce he was reopening the investigation into clintons email server last week 
because of weinergate and the sexting scandal the nypd started investigating it through a subpoena through a warrant they searched his laptop and sure enough found those  emails they found way more stuff than just more information pertaining to the inappropriate sexting the guy was doing prince claimed 
they found state department emails they found a lot of other really damning criminal information including money laundering including the fact that hillary went to this sex island with convicted pedophile jeffrey epstein bill clinton went there more than  times hillary clinton went there at least six times he said 
the amount of garbage that they found in these emails of criminal activity by hillary by her immediate circle and even by other democratic members of congress was so disgusting they gave it to the fbi and they said were going to go public with this if you dont reopen the investigation and you dont do the right thing with timely indictments prince explained 
i believe  i know and this is from a very wellplaced source of mine at pp one police plaza in new york  the nypd wanted to do a press conference announcing the warrants and the additional arrests they were making in this investigation and theyve gotten huge pushback to the point of coercion from the justice department with the justice department threatening to charge someone that had been unrelated in the accidental heart attack death of eric garner almost two years ago thats the level of pushback the obama justice department is doing against actually seeking justice in the email and other related criminal matters prince said 
theres five different parts of the fbi conducting investigations into these things with constant downdrafts from the obama justice department so in the i hope unlikely and very unfortunate event that hillary clinton is elected president we will have a constitutional crisis that we have not seen since i believe  prince declared 
marlow asked prince to clarify these revelations 
nypd was the first one to look at that laptop prince elaborated weiner and huma abedin his wife  the closest adviser of hillary clinton for  years  have both flipped they are cooperating with the government they both have  they see potential jail time of many years for their crimes for huma abedin sending and receiving and even storing hundreds of thousands of messages from the state department server and from hillary clintons own homebrew server which contained classified information weiner faces all kinds of exposure for the inappropriate sexting that was going on and for other information that they found 
so nypd first gets that computer they see how disgusting it is they keep a copy of everything and they pass a copy on to the fbi which finally pushes the fbi off their chairs making comey reopen that investigation which was indicated in the letter last week the point being nypd has all the information and they will pursue justice within their rights if the fbi doesnt prince contended 
there is all kinds of criminal culpability through all the emails theyve seen of that  including money laundering underage sex payforplay and of course plenty of proof of inappropriate handling sendingreceiving of classified information up to sap level special access programs he stated 
so the plot thickens nypd was pushing because as an article quoted one of the chiefs  thats the level just below commissioner  he said as a parent as a father with daughters he could not let that level of evil continue prince said 
he noted that the fbi can investigate these matters but they cant convene a grand jury they cant file charges 
the prosecutors the justice department has to do that he explained now as i understand it preet bharara the manhattan prosecutor has gotten ahold of some of this from what i hear hes a standup guy and hopefully he does the right thing 
marlow agreed that bhararas sterling reputation as a determined prosecutor was bad news for the clintons 
prince agreed but said if people are willing to bend or break the law and dont really care about the constitution or due process  if youre willing to use stalinist tactics against someone  who knows what level of pressure could be brought to bear against even the most tenacious law enforcement officials 
listen to interview here 
the point being fortunately its not just the fbi there are five different offices that are in the hunt for justice but the nypd has it as well prince said citing the wall street journal reporting that has exposed downdraft back pressure from the justice department against both the fbi and nypd in an effort to keep the sunlight and the disinfecting effects of the truth and transparency from shining on this great evil that has gone on and is slowly being exposed 
the justice department is trying to run out the clock to elect hillary clinton to prevent any real justice from being done he warned 
as for the mayor of new york city prince said he has heard that de blasio wants to stay away from this 
the evidence is so bad the email content is so bad that i think even he wants to stay away from it which is really telling he said 
for entire story breitbart news k shares",english,100percentfedup.com,http://100percentfedup.com/wp-content/uploads/2016/11/hillary-looking-down.jpg,bias,1.0,breaking nypd ready make arrests weiner casehillary visited pedophile island least timesmoney laundering underage sex payforplayproof inappropriate handling classified information percentfedupcom,breaking nypd ready make arrests weiner casehillary visited pedophile island least timesmoney laundering underage sex payforplayproof inappropriate handling classified information blackwater usa founder retired navy seal erik prince prince claimed insider knowledge investigation could help explain fbi director james comey announce reopening investigation clintons email server last week weinergate sexting scandal nypd started investigating subpoena warrant searched laptop sure enough found emails found way stuff information pertaining inappropriate sexting guy prince claimed found state department emails found lot really damning criminal information including money laundering including fact hillary went sex island convicted pedophile jeffrey epstein bill clinton went times hillary clinton went least six times said amount garbage found emails criminal activity hillary immediate circle even democratic members congress disgusting gave fbi said going go public dont reopen investigation dont right thing timely indictments prince explained believe know wellplaced source mine pp one police plaza new york nypd wanted press conference announcing warrants additional arrests making investigation theyve gotten huge pushback point coercion justice department justice department threatening charge someone unrelated accidental heart attack death eric garner almost two years ago thats level pushback obama justice department actually seeking justice email related criminal matters prince said theres five different parts fbi conducting investigations things constant downdrafts obama justice department hope unlikely unfortunate event hillary clinton elected president constitutional crisis seen since believe prince declared marlow asked prince clarify revelations nypd first one look laptop prince elaborated weiner huma abedin wife closest adviser hillary clinton years flipped cooperating government see potential jail time many years crimes huma abedin sending receiving even storing hundreds thousands messages state department server hillary clintons homebrew server contained classified information weiner faces kinds exposure inappropriate sexting going information found nypd first gets computer see disgusting keep copy everything pass copy fbi finally pushes fbi chairs making comey reopen investigation indicated letter last week point nypd information pursue justice within rights fbi doesnt prince contended kinds criminal culpability emails theyve seen including money laundering underage sex payforplay course plenty proof inappropriate handling sendingreceiving classified information sap level special access programs stated plot thickens nypd pushing article quoted one chiefs thats level commissioner said parent father daughters could let level evil continue prince said noted fbi investigate matters cant convene grand jury cant file charges prosecutors justice department explained understand preet bharara manhattan prosecutor gotten ahold hear hes standup guy hopefully right thing marlow agreed bhararas sterling reputation determined prosecutor bad news clintons prince agreed said people willing bend break law dont really care constitution due process youre willing use stalinist tactics someone knows level pressure could brought bear even tenacious law enforcement officials listen interview point fortunately fbi five different offices hunt justice nypd well prince said citing wall street journal reporting exposed downdraft back pressure justice department fbi nypd effort keep sunlight disinfecting effects truth transparency shining great evil gone slowly exposed justice department trying run clock elect hillary clinton prevent real justice done warned mayor new york city prince said heard de blasio wants stay away evidence bad email content bad think even wants stay away really telling said entire story breitbart news k shares
Fed Up,2016-11-05T01:19:00.000+02:00,wow whistleblower tells chilling story of massive voter fraud trump campaign readies lawsuit against fl sec of elections in critical district video  percentfedupcom,"breaking nypd ready to make arrests in weiner casehillary visited pedophile island at least  timesmoney laundering underage sex payforplayproof of inappropriate handling classified information 
the amazing citizen journalist mike cernovich broke this story this morning at danger and play  florida residents have been complaining that theyre not getting their absentee ballots chelsey marie smith was working fulltime at broward county supervisor of elections main office blew the whistle on the voter fraud scheme live on periscope  breaking news voting fraud uncovered in florida magax httpstcoqjeezrgh 
 mike cernovich  cernovich november   
the florida state attorney is actively investigating the fraud case that involves secretary of elections brenda snipes source fl state attorney investigators are actively reviewing broward county voter fraud case 
 jack posobiec  jackposobiec november   

democrat dr brenda snipes was appointed by jeb bush in  and is no stranger to controversy on october  the sun sentinal reported that former oakland park commissioner anne sallee noticed something troubling about her votebymail ballot it is missing constitutional amendment  the medical marijuana question 
sallee now broward chapter director of the florida restaurant and lodging association knows her way around government yet she said she spent a week unsuccessfully trying to get someone at the broward elections office to pay attention to her complaint 
she was cleared on wednesday of another election snafu the early posting of primary election results her office also was criticized for sending out inaccurate voter id cards and for printing ballots for november that include the word no in the yes line on the countys transportation sales surtax question 
there were multiple reports that hillary personally met with brenda snipes days ago there were multiple reports hillary personally met with brenda snipes days ago no photos but where theres smoke 
 jack posobiec  jackposobiec november   
according to a former secretary of elections department employee there is a secret room where democrat insiders fill out those absentee ballots 
the woman provided her sworn testimony via affidavit 
the affidavit by chelsey marie smith accuses broward county officials of filling out blank absentee ballots to officials who she saw filling the ballots out at the supervisor of elections headquarters via gp page ",english,100percentfedup.com,http://100percentfedup.com/wp-content/uploads/2016/11/snipes-dem.jpg,bias,1.0,wow whistleblower tells chilling story massive voter fraud trump campaign readies lawsuit fl sec elections critical district video percentfedupcom,breaking nypd ready make arrests weiner casehillary visited pedophile island least timesmoney laundering underage sex payforplayproof inappropriate handling classified information amazing citizen journalist mike cernovich broke story morning danger play florida residents complaining theyre getting absentee ballots chelsey marie smith working fulltime broward county supervisor elections main office blew whistle voter fraud scheme live periscope breaking news voting fraud uncovered florida magax httpstcoqjeezrgh mike cernovich cernovich november florida state attorney actively investigating fraud case involves secretary elections brenda snipes source fl state attorney investigators actively reviewing broward county voter fraud case jack posobiec jackposobiec november democrat dr brenda snipes appointed jeb bush stranger controversy october sun sentinal reported former oakland park commissioner anne sallee noticed something troubling votebymail ballot missing constitutional amendment medical marijuana question sallee broward chapter director florida restaurant lodging association knows way around government yet said spent week unsuccessfully trying get someone broward elections office pay attention complaint cleared wednesday another election snafu early posting primary election results office also criticized sending inaccurate voter id cards printing ballots november include word yes line countys transportation sales surtax question multiple reports hillary personally met brenda snipes days ago multiple reports hillary personally met brenda snipes days ago photos theres smoke jack posobiec jackposobiec november according former secretary elections department employee secret room democrat insiders fill absentee ballots woman provided sworn testimony via affidavit affidavit chelsey marie smith accuses broward county officials filling blank absentee ballots officials saw filling ballots supervisor elections headquarters via gp page
Fed Up,2016-11-06T23:54:00.000+02:00,breaking clinton clearedwas this a coordinated last minute trick to energize hillarys base  percentfedupcom,"limbaugh said that the revelations in the wikileaks material were starting to hurt the clintons and that the renewed interest in an fbi investigation into her private email server would be a fruitless distraction 
in any case 
its time to drain the swamp 
fbi director james comey said sunday that the agency has reviewed all of the hillary clinton emails recently discovered in an unrelated case and that his conclusion in july not to prosecute clinton after the fbis original investigation into her use of private email server still stands 
comey informed congress on oct  that the agency would in the unrelated case review additional emails related to clintons time running the state department from  to  
since my letter the fbi investigative team has been working around the clock to process and review a large volume of emails comey said sunday in a followup letter to congress during that time we reviewed all of the communications that were to or from hilary clinton as secretary of state based on our review we have not changed our conclusion 
the new case is purportedly related to exnew york democratic rep anthony weiner using a laptop he shared with estranged wife and top clinton aide huma abedin for sexting an apparently underage female",english,100percentfedup.com,http://100percentfedup.com/wp-content/uploads/2016/05/hillary-comey.jpg,bias,1.0,breaking clinton clearedwas coordinated last minute trick energize hillarys base percentfedupcom,limbaugh said revelations wikileaks material starting hurt clintons renewed interest fbi investigation private email server would fruitless distraction case time drain swamp fbi director james comey said sunday agency reviewed hillary clinton emails recently discovered unrelated case conclusion july prosecute clinton fbis original investigation use private email server still stands comey informed congress oct agency would unrelated case review additional emails related clintons time running state department since letter fbi investigative team working around clock process review large volume emails comey said sunday followup letter congress time reviewed communications hilary clinton secretary state based review changed conclusion new case purportedly related exnew york democratic rep anthony weiner using laptop shared estranged wife top clinton aide huma abedin sexting apparently underage female
Fed Up,2016-11-07T02:43:00.000+02:00,evil hillary supporters yell fck trumpburn truck of daddy fishing with  yr son over of trump bumperstickers video  percentfedupcom,"email 
these people are sick and evil they will stop at nothing to get their way laws mean nothing to them because they mean nothing to their president and his regime 
a california man says a stranger hurled expletives and set his truck on fire thursday after seeing a prodonald trump sticker on the bumper 
hao lee had taken his yearold son fishing on a pleasant november afternoon in sacramento he parked his white dodge ram truck with a pair of trump stickers on the bumper along garden highway 
about a couple hours into fishing i heard someone yelling out f trump lee told ktxl 
lee and his son were only about  yards from where his truck was parked near the edge of the river trending on  fed up",english,100percentfedup.com,http://100percentfedup.com/wp-content/uploads/2016/11/TRUCK-TORCHED-HILLARY.jpg,bias,1.0,evil hillary supporters yell fck trumpburn truck daddy fishing yr son trump bumperstickers video percentfedupcom,email people sick evil stop nothing get way laws mean nothing mean nothing president regime california man says stranger hurled expletives set truck fire thursday seeing prodonald trump sticker bumper hao lee taken yearold son fishing pleasant november afternoon sacramento parked white dodge ram truck pair trump stickers bumper along garden highway couple hours fishing heard someone yelling f trump lee told ktxl lee son yards truck parked near edge river trending fed
